syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority7,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_ratio7,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_weight7,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_open6,syl_open7,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,syl_phoncat6,syl_phoncat7,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,onset_phoncat6,onset_phoncat7,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,koda_phoncat6,koda_phoncat7,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,nucleus_phoncat6,nucleus_phoncat7,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,syl_len7,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,koda_len7,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,onset_len7,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,nucleus_len7,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,syl_cv6,syl_cv7,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,cv_ratio7,pos,comp_struct,nomen,comp_len,Word,stress_class
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,KCKC,CKCKC,ø,An,ø,A,An,Ang,Ange,Anges,K,KC,KCC,KCCK,KCCKC,ø,9,7,12,10,11,9,7,15,4,3,3,3,3,4,3,5,0,light,schwa,light,schwa,light,light,schwa,light,c,o,c,c,c,c,o,c,KC,CK,CCKC,CKC,CKC,CK,CK,CKC,,C,CC,C,C,C,C,C,C,,C,C,C,,,C,K,K,K,K,K,K,K,K,2,2,5,3,3,2,3,4,1,0,1,1,1,1,0,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,VC,CV,CCVC,CVC,CVC,CVC,CV,CVC,1,1,3,2,2,2,1,2,N,NV,T,2,Angestelltenversicherung,prima
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,KCKC,CKCKC,ø,Ar,ø,A,Ar,Arb,Arbe,Arbei,K,KC,KCC,KCCD,KCCDA,ø,10,12,10,10,11,9,7,15,5,4,5,3,3,4,3,5,0,light,light,light,schwa,light,light,schwa,light,c,c,o,c,c,c,o,c,KC,CDA,CL,CKC,CKC,CK,CK,CKC,,C,C,C,C,C,C,C,C,A,,C,C,,,C,K,D,L,K,K,K,K,K,2,5,2,3,3,2,3,4,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,VC,CVVC,CVV,CVC,CVC,CVC,CV,CVC,1,1,0,2,2,2,1,2,N,NV,T,2,Arbeitslosenversicherung,prima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Ar,ø,A,Ar,Arb,Arbe,Arbei,K,KC,KCC,KCCD,KCCDA,ø,10,12,10,7,11,7,9,9,5,4,5,3,5,3,4,4,-1,light,light,light,light,light,light,light,light,c,c,c,c,o,c,o,c,KC,CDA,KC,CK,CL,CK,AL,LC,,C,,C,C,C,A,,C,A,C,,,,,C,K,D,K,K,L,K,L,L,2,5,2,2,2,2,2,2,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,2,1,1,2,1,2,2,VC,CVVC,VC,CVC,CVV,CVC,CVV,VVC,1,1,1,2,0,2,0,0,N,NN,T,2,Arbeitsorganisation,prima
hig,ø,g,ig,hig,ehig,aehig,C,KC,LKC,CLKC,CCLKC,ø,ar,ø,a,ar,art,arti,artik,K,KC,KCC,KCCL,KCCLC,ø,10,9,9,10,9,10,7,9,5,4,4,5,4,3,3,4,-1,light,light,light,light,light,heavy,light,light,c,o,o,c,o,c,o,c,KC,CL,CL,CK,AL,LCC,CL,KC,,C,C,C,A,,C,,C,,,,,CC,,C,K,L,L,K,L,L,L,K,2,2,2,2,2,3,2,3,1,0,0,1,0,2,0,1,0,1,1,1,1,0,1,0,1,2,2,1,2,2,2,1,VC,CVV,CVV,CVC,CVV,VVCC,CVV,VC,1,0,0,2,0,1,0,1,A,NA,F,2,artikulationsfaehig,antepaenultima
ent,ent,t,nt,ent,ient,zient,C,CC,KCC,LKCC,ALKCC,ø,Aus,ø,A,Au,Aus,Ausd,Ausde,D,DC,DCC,DCCL,DCCLC,acc,11,7,15,7,6,9,9,10,5,3,3,3,6,4,4,3,-1,light,light,heavy,light,light,light,light,heavy,c,o,c,o,c,o,o,c,DC,CL,CKCC,CL,K,CL,AL,KCC,,C,C,C,,C,A,,C,,CC,,,,,CC,D,L,K,L,K,L,L,K,3,3,5,2,2,2,2,3,1,0,2,0,1,0,0,2,0,1,1,1,0,1,1,0,2,2,1,2,1,2,2,1,VVC,CVV,CVCC,CVV,VC,CVV,CVV,VCC,0,0,3,0,1,0,0,2,N,NN,T,2,Ausdehnungskoeffizient,prima
stem,ø,m,em,tem,stem,ystem,C,LC,CLC,CCLC,KCCLC,ø,Da,ø,D,Da,Dat,Date,Daten,C,CL,CLC,CLCK,CLCKC,ø,11,10,11,10,11,13,10,10,5,3,3,5,5,3,3,3,0,light,schwa,light,light,light,heavy,light,light,o,c,c,c,o,c,c,c,CL,CKC,CKC,KC,CD,CKCC,CKC,CLC,C,C,C,,C,C,C,C,,C,C,C,,CC,C,C,L,K,K,K,D,K,K,L,2,3,3,2,3,5,2,4,0,1,1,1,0,2,1,1,1,1,1,0,1,1,1,1,2,1,1,1,2,1,1,2,CVV,CVC,CVC,VC,CVV,CVCC,CVC,CVVC,0,2,2,1,0,3,2,1,N,NN,T,2,Datenverarbeitungssystem,prima
t1t,ø,t,et,aet,taet,itaet,C,LC,CLC,LCLC,CLCLC,ø,Dis,ø,D,Di,Dis,Disp,Dispr,C,CK,CKC,CKCC,CKCCC,ø,10,11,11,9,6,9,12,8,3,3,3,4,6,4,6,2,-1,light,light,light,light,light,light,light,light,c,o,c,o,o,c,o,c,CKC,CCL,CKC,AL,L,CK,CL,CLC,C,CC,C,A,,C,C,C,C,,C,,,,,C,K,L,K,L,L,K,L,L,3,3,3,2,1,2,2,3,1,0,1,0,0,1,0,1,1,2,1,1,0,1,1,1,1,2,1,2,2,1,2,2,CVC,CCVV,CVC,CVV,VV,CVC,CVV,CVVC,2,1,2,0,0,2,0,1,N,A,T,1,Disproportionalitaet,ultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,e,ø,e,em,emo,emot,emoti,L,LC,LCL,LCLA,LCLAL,ø,6,9,9,6,13,12,9,13,6,4,4,6,6,6,4,4,0,light,light,light,light,light,light,light,schwa,o,o,o,o,o,o,o,c,L,CL,AL,L,CL,CL,CL,CKC,,C,A,,C,C,C,C,,,,,,,,C,L,L,L,L,L,L,L,K,1,2,2,1,2,2,3,3,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,2,2,2,2,2,2,2,1,VV,CVV,CVV,VV,CVV,CVV,CVV,CVC,0,0,0,0,0,0,0,2,V,A,F,1,emotionalisieren,paenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,ent,ent,e,en,ent,enti,entid,K,KC,KCC,KCCL,KCCLC,noacc,10,8,7,6,10,9,9,13,3,8,3,6,5,4,4,4,0,heavy,light,light,light,light,light,light,schwa,c,o,o,o,o,o,o,c,KCC,L,CL,L,CL,CL,CL,CKC,,,C,,C,C,C,C,CC,,,,,,,C,K,L,L,L,L,L,L,K,3,1,2,1,2,2,3,3,2,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,2,2,2,2,2,2,1,VCC,VV,CVV,VV,CVV,CVV,CVV,CVC,2,0,0,0,0,0,0,2,V,V,F,1,entideologisieren,paenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,ent,ent,e,en,ent,entn,entna,K,KC,KCC,KCCC,KCCCK,noacc,10,9,9,6,13,12,9,13,3,4,4,6,6,6,4,4,0,heavy,light,light,light,light,light,light,schwa,c,c,o,o,o,o,o,c,KCC,CK,AL,L,CL,CL,CL,CKC,,C,A,,C,C,C,C,CC,,,,,,,C,K,K,L,L,L,L,L,K,3,2,2,1,2,2,3,3,2,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,2,2,2,2,2,1,VCC,CVC,CVV,VV,CVV,CVV,CVV,CVC,2,2,0,0,0,0,0,2,V,V,F,1,entnationalisieren,paenultima
