syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,pos,comp_struct,nomen,comp_len,Word,stress_class
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Ab,ø,A,Ab,Abb,Abbr,Abbre,K,KC,KCC,KCCL,KCCLC,ø,6,11,9,6,9,9,6,3,4,6,4,4,0,light,light,light,light,light,light,c,o,o,c,o,c,K,CCL,CL,K,AL,LC,,CC,C,,A,,,,,,,C,K,L,L,K,L,L,2,3,2,1,2,2,1,0,0,1,0,1,0,2,1,0,1,0,1,2,2,1,2,2,VC,CCVV,CVV,VC,CVV,VVC,1,1,0,1,0,0,N,R,T,1,Abbreviation,ultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,ab,ab,a,ab,abf,abfo,abfot,K,KC,KCC,KCCL,KCCLC,acc,7,7,7,11,9,13,3,3,3,3,4,4,1,light,light,light,light,light,schwa,c,o,o,c,o,c,KC,CL,CL,CCK,CL,CKC,,C,C,CC,C,C,C,,,,,C,K,L,L,K,L,K,2,2,2,3,3,3,1,0,0,1,0,1,0,1,1,2,1,1,1,2,2,1,2,1,VC,CVV,CVV,CCVC,CVV,CVC,1,0,0,3,0,2,V,V,F,1,abfotografieren,prima
se,ø,e,se,ese,nese,enese,K,CK,LCK,CLCK,LCLCK,ø,A,ø,A,Ab,Abi,Abio,Abiog,K,KC,KCL,KCLL,KCLLC,ø,6,9,6,7,9,7,6,4,6,3,4,3,0,light,light,light,light,light,schwa,c,o,o,o,o,o,K,CL,L,CL,CL,CK,,C,,C,C,C,,,,,,,K,L,L,L,L,K,1,2,1,2,2,2,1,0,0,0,0,0,0,1,0,1,1,1,1,2,2,2,2,1,VC,CVV,VV,CVV,CVV,CV,1,0,0,0,0,1,N,ø,T,0,Abiogenese,paenultima
tin,ø,n,in,tin,ntin,entin,C,KC,CKC,CCKC,KCCKC,ø,Ab,ø,A,Ab,Abi,Abit,Abitu,K,KC,KCL,KCLC,KCLCL,ø,6,9,9,12,9,12,6,4,4,6,4,4,0,light,light,light,light,light,light,c,o,o,o,c,c,K,CL,CL,CL,KC,CKC,,C,C,C,,C,,,,,C,C,K,L,L,L,K,K,2,1,2,2,2,3,1,0,0,0,1,1,0,1,1,1,0,1,1,2,2,2,1,1,VC,CVV,CVV,CVV,VC,CVC,1,0,0,0,1,2,N,N,T,1,Abiturientin,paenultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Ab,ø,A,Ab,Abj,Abju,Abjud,K,KC,KCC,KCCL,KCCLC,ø,7,14,9,7,9,9,3,7,4,3,4,4,-1,light,light,light,light,light,light,c,o,o,c,o,c,KC,CL,CL,CK,AL,LC,,C,C,C,A,,C,,,,,C,K,L,L,K,L,L,2,2,2,2,2,2,1,0,0,1,0,1,0,1,1,1,1,0,1,2,2,1,2,2,VC,CVV,CVV,CVC,CVV,VVC,1,0,0,2,0,0,N,R,T,1,Abjudikation,ultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,ab,ab,a,ab,abp,abph,abpho,K,KC,KCC,KCCL,KCCLC,acc,7,7,7,11,9,13,3,3,3,3,4,4,1,light,light,light,light,light,schwa,c,o,o,c,o,c,KC,CL,CL,CCK,CL,CKC,,C,C,CC,C,C,C,,,,,C,K,L,L,K,L,K,2,3,2,3,4,3,1,0,0,1,0,1,0,1,1,2,1,1,1,2,2,1,2,1,VC,CVV,CVV,CCVC,CVV,CVC,1,0,0,3,0,2,V,V,F,1,abphotographieren,prima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,ALCKC,ø,ab,ab,a,ab,abq,abqu,abqua,K,KC,KCC,KCCC,KCCCK,acc,7,8,12,9,9,13,3,2,6,4,4,4,0,light,light,light,light,light,schwa,c,c,o,o,o,c,KC,CCK,CL,CL,AL,CKC,,CC,C,C,A,C,C,,,,,C,K,K,L,L,L,K,2,3,2,2,3,3,1,1,0,0,0,1,0,2,1,1,1,1,1,1,2,2,2,1,VC,CCVC,CVV,CVV,CVV,CVC,1,3,0,0,0,2,V,V,F,1,abqualifizieren,prima
um,um,m,um,ium,rium,orium,C,KC,LKC,CLKC,LCLKC,ø,Ab,ø,A,Ab,Abs,Abso,Absol,K,KC,KCC,KCCL,KCCLC,ø,7,7,12,7,12,11,3,3,6,3,6,5,0,light,light,light,light,light,light,c,o,o,o,o,c,KC,CL,CL,CL,CL,KC,,C,C,C,C,,C,,,,,C,K,L,L,L,L,K,2,2,2,2,2,2,1,0,0,0,0,1,0,1,1,1,1,0,1,2,2,2,2,1,VC,CVV,CVV,CVV,CVV,VC,1,0,0,0,0,1,N,R,T,1,Absolutorium,antepaenultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Ad,ø,A,Ad,Adj,Adju,Adjud,K,KC,KCC,KCCL,KCCLC,ø,7,14,9,7,9,9,3,7,4,3,4,4,-1,light,light,light,light,light,light,c,o,o,c,o,c,KC,CL,CL,CK,AL,LC,,C,C,C,A,,C,,,,,C,K,L,L,K,L,L,2,2,2,2,2,2,1,0,0,1,0,1,0,1,1,1,1,0,1,2,2,1,2,2,VC,CVV,CVV,CVC,CVV,VVC,1,0,0,2,0,0,N,R,T,1,Adjudikation,ultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Ad,ø,A,Ad,Adm,Admi,Admin,K,KC,KCC,KCCL,KCCLC,ø,7,11,12,11,9,9,3,5,4,3,4,4,0,light,light,light,light,light,light,c,o,c,c,o,c,KC,CL,CKC,CCK,AL,LC,,C,C,CC,A,,C,,C,,,C,K,L,K,K,L,L,2,2,2,4,2,2,1,0,1,1,0,1,0,1,1,2,1,0,1,2,1,1,2,2,VC,CVV,CVC,CCVC,CVV,VVC,1,0,2,3,0,0,N,R,T,1,Administration,ultima
